"Name","Component","Side","Centre X","Centre Y","Rotation"
"D2","1N4148_SOD123","Bottom","1603","525","0.00"
"C17","1.5n_R400","Top","1926","1026","90.00"
"C9","2.2nF_R300","Top","2725","1350","270.00"
"C10","2.2nF_R300","Top","2975","1350","270.00"
"C11","2.2nF_R300","Top","2775","1000","180.00"
"R12","4.7K_0603","Bottom","275","1565","270.00"
"R13","4.7K_0603","Bottom","350","1565","270.00"
"R1","10K_0603","Bottom","-125","560","270.00"
"C1","10uF_3528","Bottom","1526","1559","270.00"
"L1","10uH_1210","Bottom","1763","1600","0.00"
"C6","18pF_0603","Bottom","890","800","270.00"
"C7","18pF_0603","Bottom","760","801","90.00"
"C2","100nF_0603","Bottom","1065","1575","270.00"
"C3","100nF_0603","Bottom","1026","1665","0.00"
"C4","100nF_0603","Bottom","1015","800","270.00"
"C5","100nF_0603","Bottom","701","1595","0.00"
"C8","100nF_0603","Bottom","1451","1790","0.00"
"C15","100nF_0603","Bottom","1960","1851","90.00"
"C18","100nF_0603","Bottom","51","1390","0.00"
"C14","220nF_0805","Bottom","2084","1850","0.00"
"R5","270R_2512","Bottom","1850","200","90.00"
"R2","330R_0805","Bottom","350","440","270.00"
"R3","330R_0805","Bottom","800","440","270.00"
"R4","330R_0805","Bottom","1250","440","270.00"
"R6","330R_0805","Bottom","2275","440","270.00"
"R7","330R_0805","Bottom","2550","440","270.00"
"R8","330R_0805","Bottom","2875","440","270.00"
"R9","330R_0805","Bottom","3150","440","270.00"
"R10","330R_0805","Bottom","3550","440","270.00"
"R11","330R_0805","Bottom","4000","440","270.00"
"C12","330uF_R200","Top","2275","1500","270.00"
"D1","4148_SOD123","Bottom","1998","2050","180.00"
"U1","AT90CAN","Bottom","799","1189","0.00"
"C13","CAPOL_6.3","Top","2425","1900","270.00"
"C16","CAPOL_6.3","Top","1925","1550","270.00"
"SW1","Dip-Switch-4","Top","-175","1115","0.00"
"L2","Ferrit_smd","Bottom","1263","1575","0.00"
"FS1","Fuse_900th","Top","3375","2300","0.00"
"LED1","LED_SM","Bottom","1600","300","0.00"
"LED2","LED_SM","Bottom","250","300","180.00"
"LED3","LED_SM","Bottom","700","300","180.00"
"LED4","LED_SM","Bottom","1150","300","180.00"
"LED5","LED_SM","Bottom","2175","300","180.00"
"LED6","LED_SM","Bottom","2450","300","180.00"
"LED7","LED_SM","Bottom","2775","300","180.00"
"LED8","LED_SM","Bottom","3050","300","180.00"
"LED9","LED_SM","Bottom","3450","300","180.00"
"LED10","LED_SM","Bottom","3900","300","180.00"
"L3","L_47uH_R200","Top","3175","1850","90.00"
"L4","L_47uH_R200","Top","2775","1850","90.00"
"L5","L_47uH_R200","Top","2275","1100","90.00"
"U6","MCP9800_SOT23-5","Bottom","204","1385","180.00"
"CN1","PHX_3POL_2K","Top","4225","1838","0.00"
"CN2","PHX_MCV1.5/ 2-G-3.5","Top","245","-26","0.00"
"CN3","PHX_MCV1.5/ 2-G-3.5","Top","695","-26","0.00"
"CN4","PHX_MCV1.5/ 2-G-3.5","Top","1145","-26","0.00"
"CN5","PHX_MCV1.5/ 2-G-3.5","Top","1595","-26","0.00"
"CN8","PHX_MCV1.5/ 2-G-3.5","Top","3445","-26","0.00"
"CN9","PHX_MCV1.5/ 2-G-3.5","Top","3895","-26","0.00"
"CN6","PHX_MCV1.5/ 3-G-3.5","Top","2313","-25","0.00"
"CN7","PHX_MCV1.5/ 3-G-3.5","Top","2913","-25","0.00"
"CN10","PHX_MCV1.5/ 5-G-3.5","Top","-250","1772","270.00"
"CN11","PHX_MCV1.5/ 5-G-3.5","Top","547","2375","180.00"
"CN12","PHX_MCV1.5/ 5-G-3.5","Top","1397","2375","180.00"
"CN13","PHX_MCV1.5/ 5-G-3.5","Top","2247","2375","180.00"
"U4","RECOM_5V","Top","2025","1875","180.00"
"U5","Relay_2pol","Top","1600","875","90.00"
"U2","SN65HVD1040_SO8","Bottom","1475","2015","270.00"
"D3","TDiode_P6KE33A","Top","2575","1400","90.00"
"U3","TUHS25F24","Top","3825","1000","180.00"
"D4","TVS-Diode_SMB","Bottom","4225","1105","180.00"
"IC1","ULN_Treiber_SO18","Bottom","425","1925","270.00"
"CN14","US-ISP_100th","Top","-275","513","270.00"
"V5","Var_47V_R300","Top","2425","850","0.00"
"V1","Var_430V_R300","Top","3475","1800","90.00"
"V2","Var_430V_R300","Top","3775","1800","270.00"
"V3","Var_430V_R300","Top","3625","1800","270.00"
"XTAL1","XTAL_HC49","Bottom","825","650","180.00"
