Report Written :   Thursday, July 12, 2018  22:31
Project Path   :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.prj
Design Path    :   Z:\home\chris\git\aut\io-can-modul_pcb\io-can-modul.pcb
Design Title   :
Created        :   25.11.2015 10:02:45
Last Saved     :   12.07.2018 22:27:59
Editing Time   :   1897 min
Units          :   thou (precision 0)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Description"
"D2","1","1N4148_SOD123","","SOD123","Vishay","1N4148W-V-GS08","700-3671","Schaltdiode 1N4148W-E3-08, 75V 150mA Maximum of 50, SOD-123 2-pin"
"D5","1","1N4148_SOD123","","SOD123","Vishay","1N4148W-V-GS08","700-3671","Schaltdiode 1N4148W-E3-08, 75V 150mA Maximum of 50, SOD-123 2-pin"
"C17","1","1.5n_R400","","R400","Epcos","B32021A3152M289","668-9898","B32021 PP Folienkondensator Y2, 1,5nF ±20% 300 V ac, PCB-Montage, Raster 10mm"
"C19","1","1.5n_R400","","R400","Epcos","B32021A3152M289","668-9898","B32021 PP Folienkondensator Y2, 1,5nF ±20% 300 V ac, PCB-Montage, Raster 10mm"
"C9","1","2.2nF_R300","","R300","Epcos","B32021A3222M","466-508P","B32021 PP Folienkondensator, 2,2nF ±20% 300 V ac, PCB-Montage, Raster 10mm"
"C11","1","2.2nF_R300","","R300","Epcos","B32021A3222M","466-508P","B32021 PP Folienkondensator, 2,2nF ±20% 300 V ac, PCB-Montage, Raster 10mm"
"C10","1","2.2nF_R300","","R300","Epcos","B32021A3222M","466-508P","B32021 PP Folienkondensator, 2,2nF ±20% 300 V ac, PCB-Montage, Raster 10mm"
"R12","1","4.7K_0603","","SM0603","TE Connectivity","CRG0603F4K7","213-2367","Widerstand SMD 0603 0,1W 1% 4K7"
"R13","1","4.7K_0603","","SM0603","TE Connectivity","CRG0603F4K7","213-2367","Widerstand SMD 0603 0,1W 1% 4K7"
"R1","1","10K_0603","","R0603","TE Connectivity","CRG0603F10K","213-2418","SMD Dickschichtwiderstand, Serie CRG0603 10kO ±1% 0,1W 0603"
"C1","1","10uF_3528","","CT3528","AVX","TPSB106K016R0800","407-0019","TPS SMD Tantal Elko, Kondensator, 10µF ±10%, 16 V dc, +125°C, Gehäuse B3528-21"
"L1","1","10uH_1210","","SM","Epcos","B82422H1103K","706-2866","SMD Induktivität Drosselspule mit Ferrit-Kern, Serie B82422H 10 µH ±10%, 30MHz 500mA 1210"
"C6","1","18pF_0603","","SM0603","Kemet","C0603C180J5GAC7867","147-415","Vielschicht Keramikkondensator C0G, 18pF ±5% / 50 V dc 0603"
"C7","1","18pF_0603","","SM0603","Kemet","C0603C180J5GAC7867","147-415","Vielschicht Keramikkondensator C0G, 18pF ±5% / 50 V dc 0603"
"C4","1","100nF_0603","","SM0603","AVX","06033C104KAT2A","698-3232","Vielschicht Keramikkondensator X7R, 100nF ±10% / 25 V dc, SMD 0603"
"C5","1","100nF_0603","","SM0603","AVX","06033C104KAT2A","698-3232","Vielschicht Keramikkondensator X7R, 100nF ±10% / 25 V dc, SMD 0603"
"C8","1","100nF_0603","","SM0603","AVX","06033C104KAT2A","698-3232","Vielschicht Keramikkondensator X7R, 100nF ±10% / 25 V dc, SMD 0603"
"C2","1","100nF_0603","","SM0603","AVX","06033C104KAT2A","698-3232","Vielschicht Keramikkondensator X7R, 100nF ±10% / 25 V dc, SMD 0603"
"C3","1","100nF_0603","","SM0603","AVX","06033C104KAT2A","698-3232","Vielschicht Keramikkondensator X7R, 100nF ±10% / 25 V dc, SMD 0603"
"C15","1","100nF_0603","","SM0603","AVX","06033C104KAT2A","698-3232","Vielschicht Keramikkondensator X7R, 100nF ±10% / 25 V dc, SMD 0603"
"C18","1","100nF_0603","","SM0603","AVX","06033C104KAT2A","698-3232","Vielschicht Keramikkondensator X7R, 100nF ±10% / 25 V dc, SMD 0603"
"C14","1","220nF_0805","","C0805","Murata","GCM21BR71H224KA37L","723-5051","GCM Vielschicht Keramikkondensator X7R, 220nF ±10% / 50 V dc, SMD 0805"
"R5","1","270R_2512","","SM","TE Connectivity","3520270RJT","224-0339P","SMD Dickschichtwiderstand, Serie 3520 270O ±5% 1W 2512"
"R14","1","270R_2512","","SM","TE Connectivity","3520270RJT","224-0339P","SMD Dickschichtwiderstand, Serie 3520 270O ±5% 1W 2512"
"R2","1","330R_0805","","R0805","Bourns","CR0805-FX-3300GLF","740-9022","SMD Dickschichtwiderstand, Serie CR0805-FX 330O ±1% 0,125W 0805"
"R3","1","330R_0805","","R0805","Bourns","CR0805-FX-3300GLF","740-9022","SMD Dickschichtwiderstand, Serie CR0805-FX 330O ±1% 0,125W 0805"
"R4","1","330R_0805","","R0805","Bourns","CR0805-FX-3300GLF","740-9022","SMD Dickschichtwiderstand, Serie CR0805-FX 330O ±1% 0,125W 0805"
"R6","1","330R_0805","","R0805","Bourns","CR0805-FX-3300GLF","740-9022","SMD Dickschichtwiderstand, Serie CR0805-FX 330O ±1% 0,125W 0805"
"R7","1","330R_0805","","R0805","Bourns","CR0805-FX-3300GLF","740-9022","SMD Dickschichtwiderstand, Serie CR0805-FX 330O ±1% 0,125W 0805"
"R8","1","330R_0805","","R0805","Bourns","CR0805-FX-3300GLF","740-9022","SMD Dickschichtwiderstand, Serie CR0805-FX 330O ±1% 0,125W 0805"
"R9","1","330R_0805","","R0805","Bourns","CR0805-FX-3300GLF","740-9022","SMD Dickschichtwiderstand, Serie CR0805-FX 330O ±1% 0,125W 0805"
"R10","1","330R_0805","","R0805","Bourns","CR0805-FX-3300GLF","740-9022","SMD Dickschichtwiderstand, Serie CR0805-FX 330O ±1% 0,125W 0805"
"R11","1","330R_0805","","R0805","Bourns","CR0805-FX-3300GLF","740-9022","SMD Dickschichtwiderstand, Serie CR0805-FX 330O ±1% 0,125W 0805"
"C12","1","330uF_R200","","R200","Panasonic","EEUFM1V331","526-1856","FM Alu Kondensator, Elko radial 330µF, ±20% / 35 V dc"
"D1","1","4148_SOD123","","SOD123","Vishay","1N4148W-V-GS08","700-3671","Schaltdiode 1N4148W-E3-08, 75V 150mA Maximum of 50, SOD-123 2-pin"
"U1","1","AT90CAN","","QFP","Atmel","AT90CAN32-16AU","715-3748","Mikrocontroller AT90CAN32-16AU, AVR 8 bit 2 KB RAM, 1 kB, 32 kB Flash, TQFP 64-pin 16MHz"
